theory,dist_mpc,snr_est,confidence,std_dev,h0_inferred,delta_q_hair,mass_precision,r_detectable_limit,object_class
RG,100,20.0,0.4985,0.00624,82.02,1.0,0.05,0.0025,Exotic Compact Object (ECO)
LQG,100,20.0,0.4954,0.00887,77.19,1.0,0.05,0.0025,Exotic Compact Object (ECO)
STRING_FUZZBALL,100,20.0,0.4932,0.00354,77.0,1.0,0.05,0.0025,Exotic Compact Object (ECO)
RG,400,5.0,0.4978,0.00721,75.18,1.0,0.2,0.04,Exotic Compact Object (ECO)
LQG,400,5.0,0.5012,0.00533,75.28,1.0,0.2,0.04,Exotic Compact Object (ECO)
STRING_FUZZBALL,400,5.0,0.5007,0.00432,76.38,1.0,0.2,0.04,Exotic Compact Object (ECO)
RG,800,2.5,0.5006,0.00296,80.25,1.0,0.4,0.16,Exotic Compact Object (ECO)
LQG,800,2.5,0.5009,0.00379,78.7,1.0,0.4,0.16,Exotic Compact Object (ECO)
STRING_FUZZBALL,800,2.5,0.4962,0.00374,80.37,1.0,0.4,0.16,Exotic Compact Object (ECO)
RG,1600,1.25,0.5,0.00276,88.08,1.0,0.8,0.64,Exotic Compact Object (ECO)
LQG,1600,1.25,0.4984,0.00312,88.24,1.0,0.8,0.64,Exotic Compact Object (ECO)
STRING_FUZZBALL,1600,1.25,0.5017,0.005,87.15,1.0,0.8,0.64,Exotic Compact Object (ECO)
RG,3200,0.62,0.5024,0.00629,100.54,1.0,1.6,2.56,Exotic Compact Object (ECO)
LQG,3200,0.62,0.4952,0.00479,100.58,1.0,1.6,2.56,Exotic Compact Object (ECO)
STRING_FUZZBALL,3200,0.62,0.4985,0.00181,100.3,1.0,1.6,2.56,Exotic Compact Object (ECO)
