WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d90rf4eu9n7c73alkb2g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-29T00:08:49.283Z,2026-06-29T00:20:59.439Z,ibm_fez,5,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8o51232d42s73cekvqg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-15T19:20:40.366Z,2026-06-15T19:29:10.151Z,ibm_fez,5,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8o303832u0s73fd5f0g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-15T17:02:05.806Z,2026-06-15T17:09:43.779Z,ibm_marrakesh,3,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8nf6vjnn5bs738uhfo0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:31:26.101Z,2026-06-14T18:33:29.510Z,ibm_fez,111,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8nesmo32u0s73fcc3k0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:09:32.005Z,2026-06-14T18:13:41.139Z,ibm_fez,219,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8neqmb2d42s73cdpbeg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:05:13.650Z,2026-06-14T18:09:24.976Z,ibm_fez,219,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8neqir2d42s73cdpb9g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:04:59.547Z,2026-06-14T18:05:07.551Z,ibm_fez,4,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8nepv032u0s73fcc0mg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:03:40.771Z,2026-06-14T18:03:48.109Z,ibm_fez,4,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d8nep632d42s73cdp9pg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c2feb85ac64d4953a10b5699d17bc730:5d86c230-5de6-45a0-9dd7-f42dfa8cbbf2::,us-east,job,2026-06-14T18:02:01.006Z,2026-06-14T18:02:08.742Z,ibm_fez,4,Óscar Boullosa Dapena,,c2feb85ac64d4953a10b5699d17bc730
d925lheu9n7c73anqf0g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/b5535e3e7f794fd59355a54d9ce04c27:070e9ba3-67ef-463a-b24d-159489bab394::,us-east,job,2026-07-01T00:09:41.288Z,2026-07-01T00:09:50.355Z,ibm_fez,3,Óscar Dapena,,b5535e3e7f794fd59355a54d9ce04c27
