Iteration,True_Label,SNR,Anomaly_Confidence,Z_Score_Sigma,P_Value,Is_Discovery
0,Kerr_RG,5,0.4873046875,2.44,0.007414604212754756,False
1,Kerr_RG,5,0.5107421875,2.55,0.00532908493062127,False
2,Kerr_RG,5,0.5087890625,2.54,0.005480412186288402,False
3,Kerr_RG,5,0.50390625,2.52,0.0058755604418400265,False
4,Kerr_RG,5,0.515625,2.58,0.004966902802004986,False
5,Kerr_RG,5,0.453125,2.27,0.011737176537743184,False
6,Kerr_RG,5,0.4951171875,2.48,0.006650887251522345,False
7,Kerr_RG,5,0.4736328125,2.37,0.008938303359472724,False
8,Kerr_RG,5,0.515625,2.58,0.004966902802004986,False
9,Kerr_RG,5,0.49609375,2.48,0.006560488226684972,False
10,LQG_Quantum,5,0.5048828125,2.52,0.005794566819326589,False
11,LQG_Quantum,5,0.4833984375,2.42,0.007824676502500507,False
12,LQG_Quantum,5,0.5078125,2.54,0.005557498249528892,False
13,LQG_Quantum,5,0.47265625,2.36,0.009056958446333913,False
14,LQG_Quantum,5,0.5,2.5,0.006209665325776132,False
15,LQG_Quantum,5,0.4912109375,2.46,0.007023588938060177,False
16,LQG_Quantum,5,0.4677734375,2.34,0.009671154074263168,False
17,LQG_Quantum,5,0.455078125,2.28,0.011441253634019972,False
18,LQG_Quantum,5,0.490234375,2.45,0.007119597181001918,False
19,LQG_Quantum,5,0.5,2.5,0.006209665325776132,False
0,Kerr_RG,10,0.48828125,4.88,5.229165412475297e-07,False
1,Kerr_RG,10,0.505859375,5.06,2.1117979487154117e-07,True
2,Kerr_RG,10,0.5361328125,5.36,4.1306150925894766e-08,True
3,Kerr_RG,10,0.5185546875,5.19,1.0769095194590225e-07,True
4,Kerr_RG,10,0.5166015625,5.17,1.1956840446754587e-07,True
5,Kerr_RG,10,0.4912109375,4.91,4.505088226923001e-07,False
6,Kerr_RG,10,0.4716796875,4.72,1.1979333655008328e-06,False
7,Kerr_RG,10,0.509765625,5.1,1.7194227168963736e-07,True
8,Kerr_RG,10,0.4951171875,4.95,3.6883957836374725e-07,False
9,Kerr_RG,10,0.4697265625,4.7,1.3183373247088423e-06,False
10,LQG_Quantum,10,0.5087890625,5.09,1.8103403646414063e-07,True
11,LQG_Quantum,10,0.5068359375,5.07,2.006296346674988e-07,True
12,LQG_Quantum,10,0.4951171875,4.95,3.6883957836374725e-07,False
13,LQG_Quantum,10,0.4951171875,4.95,3.6883957836374725e-07,False
14,LQG_Quantum,10,0.5009765625,5.01,2.724818111622039e-07,True
15,LQG_Quantum,10,0.5556640625,5.56,1.3750808363168351e-08,True
16,LQG_Quantum,10,0.4697265625,4.7,1.3183373247088423e-06,False
17,LQG_Quantum,10,0.49609375,4.96,3.507688179539549e-07,False
18,LQG_Quantum,10,0.4931640625,4.93,4.077091639798627e-07,False
19,LQG_Quantum,10,0.4921875,4.92,4.2859480302628794e-07,False
0,Kerr_RG,15,0.5029296875,7.54,2.2798120416936145e-14,True
1,Kerr_RG,15,0.4755859375,7.13,4.88214664160493e-13,True
2,Kerr_RG,15,0.50390625,7.56,2.0372514616980033e-14,True
3,Kerr_RG,15,0.494140625,7.41,6.215308419760155e-14,True
4,Kerr_RG,15,0.5009765625,7.51,2.8532035074088446e-14,True
5,Kerr_RG,15,0.498046875,7.47,3.988371708875908e-14,True
6,Kerr_RG,15,0.482421875,7.24,2.304976146213481e-13,True
7,Kerr_RG,15,0.4716796875,7.08,7.461920862038325e-13,True
8,Kerr_RG,15,0.494140625,7.41,6.215308419760155e-14,True
9,Kerr_RG,15,0.48046875,7.21,2.8592441825739045e-13,True
10,LQG_Quantum,15,0.48828125,7.32,1.2014722366540496e-13,True
11,LQG_Quantum,15,0.4912109375,7.37,8.649690807144928e-14,True
12,LQG_Quantum,15,0.49609375,7.44,4.980953496608245e-14,True
13,LQG_Quantum,15,0.50390625,7.56,2.0372514616980033e-14,True
14,LQG_Quantum,15,0.4814453125,7.22,2.567465585946117e-13,True
15,LQG_Quantum,15,0.5048828125,7.57,1.8201137246990445e-14,True
16,LQG_Quantum,15,0.4892578125,7.34,1.0770461591388414e-13,True
17,LQG_Quantum,15,0.4931640625,7.4,6.940652453647608e-14,True
18,LQG_Quantum,15,0.49609375,7.44,4.980953496608245e-14,True
19,LQG_Quantum,15,0.515625,7.73,5.195616007610012e-15,True
0,Kerr_RG,20,0.5029296875,10.06,4.209616165985638e-24,True
1,Kerr_RG,20,0.4912109375,9.82,4.4279002145742615e-23,True
2,Kerr_RG,20,0.5078125,10.16,1.5540076252277534e-24,True
3,Kerr_RG,20,0.4599609375,9.2,1.802808092760784e-20,True
4,Kerr_RG,20,0.47265625,9.45,1.6443143036698043e-21,True
5,Kerr_RG,20,0.4814453125,9.63,3.0184301535321345e-22,True
6,Kerr_RG,20,0.462890625,9.26,1.0433158649053468e-20,True
7,Kerr_RG,20,0.5263671875,10.53,3.231629243231874e-26,True
8,Kerr_RG,20,0.4873046875,9.75,9.585161323482177e-23,True
9,Kerr_RG,20,0.48046875,9.61,3.6495339998310765e-22,True
10,LQG_Quantum,20,0.458984375,9.18,2.1617213254003187e-20,True
11,LQG_Quantum,20,0.5068359375,10.14,1.898188312594835e-24,True
12,LQG_Quantum,20,0.490234375,9.8,5.373958253759551e-23,True
13,LQG_Quantum,20,0.4716796875,9.43,1.9813696470807516e-21,True
14,LQG_Quantum,20,0.521484375,10.43,9.074208682031369e-26,True
15,LQG_Quantum,20,0.5068359375,10.14,1.898188312594835e-24,True
16,LQG_Quantum,20,0.494140625,9.88,2.471292204326171e-23,True
17,LQG_Quantum,20,0.5244140625,10.49,4.8895527910531986e-26,True
18,LQG_Quantum,20,0.501953125,10.04,5.132252073298616e-24,True
19,LQG_Quantum,20,0.4765625,9.53,7.770031514990511e-22,True
0,Kerr_RG,25,0.4970703125,12.43,9.353437119161822e-36,True
1,Kerr_RG,25,0.482421875,12.06,8.532300962986355e-34,True
2,Kerr_RG,25,0.509765625,12.74,1.6803683823905368e-37,True
3,Kerr_RG,25,0.49609375,12.4,1.2689505843607166e-35,True
4,Kerr_RG,25,0.47265625,11.82,1.6056508505002512e-32,True
5,Kerr_RG,25,0.4892578125,12.23,1.0557393692528152e-34,True
6,Kerr_RG,25,0.5126953125,12.82,6.552486704394511e-38,True
7,Kerr_RG,25,0.515625,12.89,2.5415095525901206e-38,True
8,Kerr_RG,25,0.5078125,12.7,3.1389431566043877e-37,True
9,Kerr_RG,25,0.4921875,12.3,4.273328679263315e-35,True
10,LQG_Quantum,25,0.4970703125,12.43,9.353437119161822e-36,True
11,LQG_Quantum,25,0.474609375,11.87,8.969970081293011e-33,True
12,LQG_Quantum,25,0.4814453125,12.04,1.1473124920573932e-33,True
