n_qubits,profundidad_real,profundidad_ideal,overhead_profundidad_pct,puertas_2q_reales,puertas_2q_ideal,overhead_2q_pct,puertas_1q,n_medidas,fidelidad_error_puertas,fidelidad_decoherencia,t1_medio_us,t2_medio_us,duracion_circuito_us,pending_jobs_al_enviar,cola_real_s,ejecucion_real_s,t_por_eval_s,n_iteraciones,n_muestras,tiempo_total_horas
12,171,171,0.0,56,56,0.0,444,12,0.6717,0.931,134.8,115.0,8.23,300,13820.0,11.3,0.6,5,1500,1.25
12,171,171,0.0,56,56,0.0,444,12,0.6717,0.931,134.8,115.0,8.23,300,13820.0,11.3,0.6,8,1500,2.0
27,546,351,55.6,251,131,91.6,1242,27,0.2941,0.7262,129.7,89.1,28.52,301,13822.3,11.5,0.6,5,1500,1.25
27,546,351,55.6,251,131,91.6,1242,27,0.2941,0.7262,129.7,89.1,28.52,301,13822.3,11.5,0.6,8,1500,2.0
33,777,423,83.7,341,161,111.8,1708,33,0.1435,0.671,142.2,108.6,43.32,302,13807.3,11.6,0.6,5,1500,1.25
33,777,423,83.7,341,161,111.8,1708,33,0.1435,0.671,142.2,108.6,43.32,302,13807.3,11.6,0.6,8,1500,2.0
40,507,507,0.0,196,196,0.0,1536,40,0.2074,0.7553,132.2,101.2,28.4,303,13803.2,11.7,0.6,5,1500,1.25
40,507,507,0.0,196,196,0.0,1536,40,0.2074,0.7553,132.2,101.2,28.4,303,13803.2,11.7,0.6,8,1500,2.0
50,981,627,56.5,420,246,70.7,2485,50,0.0539,0.5472,134.9,100.8,60.79,316,13653.0,12.4,0.6,5,1500,1.25
50,981,627,56.5,420,246,70.7,2485,50,0.0539,0.5472,134.9,100.8,60.79,316,13653.0,12.4,0.6,8,1500,2.0
